Enterobacteria phage T2 (taxid=10664, kingdom=10239)
Stanholtvirus sv1026b (taxid=255131, kingdom=10239)
Klebsiella phage phiKO2 (taxid=255431, kingdom=10239)
Biseptimavirus bv77 (taxid=259901, kingdom=10239)
Mycobacterium phage U2 (taxid=260120, kingdom=10239)
Fromanvirus bethlehem (taxid=260121, kingdom=10239)
Ishigurovirus osborne (taxid=260149, kingdom=10239)
Cyanophage S-2L (taxid=260586, kingdom=10239)
Hapunavirus VP882 (taxid=261726, kingdom=10239)
Wolbachia phage WOcauB1 (taxid=262790, kingdom=10239)
Klebsiella phage KPP95 (taxid=264484, kingdom=10239)
Prochlorococcus phage P-SSM2 (taxid=268746, kingdom=10239)
Prochlorococcus phage P-SSM4 (taxid=268747, kingdom=10239)
uncultured phage (taxid=278008, kingdom=10239)
Lactobacillus phage phiAT3 (taxid=279281, kingdom=10239)
Burkholderia phage BcepB1A (taxid=279530, kingdom=10239)
Escherichia phage JS98 (taxid=293178, kingdom=10239)
Flavobacterium phage 11b (taxid=294631, kingdom=10239)
Enterobacteria phage JSD2 (taxid=295708, kingdom=10239)
Enterobacteria phage JSD5 (taxid=295709, kingdom=10239)
Enterobacteria phage JSD1 (taxid=295710, kingdom=10239)
Enterobacteria phage JSD3 (taxid=295711, kingdom=10239)
Enterobacteria phage JSL5 (taxid=295712, kingdom=10239)
Enterobacteria phage JS9 (taxid=295713, kingdom=10239)
Brussowvirus bv2972 (taxid=306323, kingdom=10239)
Synechococcus phage S-PWM3 (taxid=306535, kingdom=10239)
Listonella phage phiHSIC (taxid=310539, kingdom=10239)
Enterobacteria phage RB1 (taxid=314494, kingdom=10239)
Gordonia phage GTE5 (taxid=319522, kingdom=10239)
Dubowvirus dv69 (taxid=320834, kingdom=10239)
Dubowvirus dv53 (taxid=320835, kingdom=10239)
Staphylococcus phage 2638A (taxid=320836, kingdom=10239)
Triavirus tv42e (taxid=320837, kingdom=10239)
Triavirus tv47 (taxid=320839, kingdom=10239)
Phietavirus pv96 (taxid=320842, kingdom=10239)
Aeromonas phage 31 (taxid=321023, kingdom=10239)
Xanthomonas phage Xp15 (taxid=322855, kingdom=10239)
Dubowvirus ETA2 (taxid=326036, kingdom=10239)
Phietavirus ETA3 (taxid=326037, kingdom=10239)
Xipdecavirus OP1 (taxid=329254, kingdom=10239)
Salmonella phage SE1 (in:P22virus) (taxid=329864, kingdom=10239)
Listeria phage B025 (taxid=330396, kingdom=10239)
Listeria phage B054 (taxid=330397, kingdom=10239)
Burkholderia phage KS9 (taxid=335797, kingdom=10239)
Myoviridae environmental samples (taxid=336724, kingdom=10239)
uncultured virus (taxid=340016, kingdom=10239)
Bacteriophage APSE-2 (taxid=340054, kingdom=10239)
Microcystis virus Ma-LMM01 (taxid=340435, kingdom=10239)
Lactococcus phage CB17 (taxid=341690, kingdom=10239)
Lactococcus phage GR6 (taxid=341691, kingdom=10239)
Irtavirus F108 (taxid=342564, kingdom=10239)
Bacillus phage Fah (taxid=345922, kingdom=10239)
Bacillus phage Gamma (taxid=347962, kingdom=10239)
Bacillus phage Cherry (taxid=347966, kingdom=10239)
Salmonella phage epsilon34 (taxid=348058, kingdom=10239)
Burkholderia phage Bcep176 (taxid=348137, kingdom=10239)
Synechococcus phage S-CBM2 (taxid=351708, kingdom=10239)
Rtpvirus Rtp (taxid=355246, kingdom=10239)
Wbetavirus wbeta (taxid=359961, kingdom=10239)
Bacillus phage Gamma isolate d'Herelle (taxid=359962, kingdom=10239)
Staphylococcus virus 108PVL (taxid=360398, kingdom=10239)
Geobacillus phage GBSV1 (taxid=365048, kingdom=10239)
Stenotrophomonas phage Smp14 (taxid=369581, kingdom=10239)
Streptomyces phage mu1/6 (taxid=370623, kingdom=10239)
Streptococcus phage M102 (taxid=372457, kingdom=10239)
Sodalis phage phiSG1 (taxid=373126, kingdom=10239)
Kostyavirus kv244 (taxid=373403, kingdom=10239)
Fromanvirus Che12 (taxid=373405, kingdom=10239)
Mycobacterium virus PMC (taxid=373412, kingdom=10239)
Tigunavirus TG1 (taxid=374422, kingdom=10239)
Mannheimia phage phiMhaA1-BAA410 (taxid=376821, kingdom=10239)
Prochlorococcus phage P-SSP3 (taxid=382273, kingdom=10239)
Synechococcus phage syn9 (taxid=382359, kingdom=10239)
Enterobacteria phage MV SS (taxid=382653, kingdom=10239)
Enterobacteria phage MV BS (taxid=382654, kingdom=10239)
Lactococcus phage Q54 (taxid=382685, kingdom=10239)
Enterobacteria phage MV9 (taxid=383864, kingdom=10239)
Enterobacteria phage MV12 (taxid=383865, kingdom=10239)
Enterobacteria phage MV13 (taxid=383866, kingdom=10239)
Corynebacterium phage P1201 (taxid=384848, kingdom=10239)
Dubowvirus NM2 (taxid=387908, kingdom=10239)
Staphylococcus phage phiNM3 (taxid=387909, kingdom=10239)
Phietavirus NM4 (taxid=387910, kingdom=10239)
Bielevirus phiO18P (taxid=393598, kingdom=10239)
Clostridium phage phiSM101 (taxid=396359, kingdom=10239)
Escherichia phage V5 (taxid=399183, kingdom=10239)
Wumpquatrovirus WMP4 (taxid=400567, kingdom=10239)
Aresaunavirus RSA1 (taxid=406340, kingdom=10239)
Streptococcus phage SMP (taxid=413066, kingdom=10239)
Streptococcus phage phi3396 (taxid=423476, kingdom=10239)
Salmonella phage Vi II-E1 (taxid=424716, kingdom=10239)
Staphylococcus phage phi2958PVL (taxid=430796, kingdom=10239)
Stanholtvirus sv6442 (taxid=431891, kingdom=10239)
Tigrvirus E122 (taxid=431892, kingdom=10239)
Tigrvirus E202 (taxid=431893, kingdom=10239)
Escherichia phage HK106 (taxid=432198, kingdom=10239)
Escherichia phage HK542 (taxid=432200, kingdom=10239)
Escherichia phage HK544 (taxid=432201, kingdom=10239)
Cyanophage PP (taxid=434346, kingdom=10239)
Lactobacillus phage phiPYB5 (taxid=438780, kingdom=10239)
Mycobacterium phage Tweety (taxid=439809, kingdom=10239)
Wumptrevirus WMP3 (taxid=440250, kingdom=10239)
Synechococcus phage S-SM1 (taxid=444859, kingdom=10239)
Synechococcus phage S-SM2 (taxid=444860, kingdom=10239)
Prochlorococcus phage Syn1 (taxid=444861, kingdom=10239)
Prochlorococcus phage P-RSM4 (taxid=444862, kingdom=10239)
Cyanophage P-SSP2 (taxid=444876, kingdom=10239)
Prochlorococcus phage Syn33 (taxid=444878, kingdom=10239)
Staphylococcus phage tp310-1 (taxid=445515, kingdom=10239)
Staphylococcus phage tp310-2 (taxid=445516, kingdom=10239)
Staphylococcus phage tp310-3 (taxid=445517, kingdom=10239)
Synechococcus phage S-ShM2 (taxid=445683, kingdom=10239)
Synechococcus phage Syn19 (taxid=445684, kingdom=10239)
Synechococcus phage S-SSM5 (taxid=445685, kingdom=10239)
Synechococcus phage S-SSM7 (taxid=445686, kingdom=10239)
Prochlorococcus phage P-SSM7 (taxid=445688, kingdom=10239)
Prochlorococcus phage P-HM2 (taxid=445696, kingdom=10239)
Prochlorococcus phage P-HM1 (taxid=445700, kingdom=10239)
Enterobacteria phage T5-D1 (taxid=447796, kingdom=10239)
Enterobacteria phage JS98-C3 (taxid=447799, kingdom=10239)
Geobacillus virus E2 (taxid=447909, kingdom=10239)
Escherichia phage Phi1 (taxid=448384, kingdom=10239)
Enterobacteria phage KEP10 (taxid=450214, kingdom=10239)
Escherichia phage phiEcoM-GJ1 (taxid=451705, kingdom=10239)
Salmonella phage Det7 (taxid=454798, kingdom=10239)
uncultured T4-like phage (taxid=457434, kingdom=10239)
Novosphingobium phage N-AFCM0615-3 (taxid=458420, kingdom=10239)
Novosphingobium phage N-AFCa0615-4 (taxid=458421, kingdom=10239)
Novosphingobium phage N-AFCa0615-5 (taxid=458422, kingdom=10239)
Novosphingobium phage N-AFCa0615-6 (taxid=458423, kingdom=10239)
Novosphingobium phage N-AFNF0628-7 (taxid=458424, kingdom=10239)
Novosphingobium phage N-AFCF0628-8 (taxid=458425, kingdom=10239)
Novosphingobium phage N-AFCF0628-9 (taxid=458426, kingdom=10239)
Novosphingobium phage N-AFCa0628-10 (taxid=458427, kingdom=10239)
Novosphingobium phage N-AFCM0628-11 (taxid=458428, kingdom=10239)
Novosphingobium phage N-AFCa0628-12 (taxid=458429, kingdom=10239)
Novosphingobium phage N-AFNF0707-13 (taxid=458430, kingdom=10239)
Novosphingobium phage N-AFCF0707-14 (taxid=458431, kingdom=10239)
Novosphingobium phage N-AFCF0707-15 (taxid=458432, kingdom=10239)
Novosphingobium phage N-AFCF0707-16 (taxid=458433, kingdom=10239)
Novosphingobium phage N-AFCa0707-17 (taxid=458434, kingdom=10239)
Novosphingobium phage N-AFCa0707-18 (taxid=458435, kingdom=10239)
Novosphingobium phage N-AFNF0802-19 (taxid=458436, kingdom=10239)
Novosphingobium phage N-AFNF0802-20 (taxid=458437, kingdom=10239)
Novosphingobium phage N-AFCF0802-21 (taxid=458438, kingdom=10239)
Novosphingobium phage N-AFCF0802-22 (taxid=458439, kingdom=10239)
Novosphingobium phage N-AFCa0802-56 (taxid=458440, kingdom=10239)
Novosphingobium phage N-AFCa0802-23 (taxid=458441, kingdom=10239)
Novosphingobium phage N-AFCa0802-57 (taxid=458442, kingdom=10239)
Novosphingobium phage N-AFCa0802-24 (taxid=458443, kingdom=10239)
Novosphingobium phage N-AFNF0810-25 (taxid=458444, kingdom=10239)
Novosphingobium phage N-AFCF0810-26 (taxid=458445, kingdom=10239)
Novosphingobium phage N-AFCM0810-27 (taxid=458446, kingdom=10239)
Novosphingobium phage N-AFCM0810-28 (taxid=458447, kingdom=10239)
Novosphingobium phage N-AFCa0810-29 (taxid=458448, kingdom=10239)
Novosphingobium phage N-AFCa0810-30 (taxid=458449, kingdom=10239)
Novosphingobium phage N-AFNF0824-31 (taxid=458450, kingdom=10239)
Novosphingobium phage N-AFCF0824-32 (taxid=458451, kingdom=10239)
Novosphingobium phage N-AFCM0824-33 (taxid=458452, kingdom=10239)
Novosphingobium phage N-AFCa0824-34 (taxid=458453, kingdom=10239)
Novosphingobium phage N-AFCa0824-35 (taxid=458454, kingdom=10239)
Novosphingobium phage N-AFCa0824-36 (taxid=458455, kingdom=10239)
Novosphingobium phage N-AFCF0901-37 (taxid=458456, kingdom=10239)
Novosphingobium phage N-AFCM0901-40 (taxid=458457, kingdom=10239)
Novosphingobium phage N-AFCa0901-41 (taxid=458458, kingdom=10239)
Novosphingobium phage N-AFCa0901-42 (taxid=458459, kingdom=10239)
Novosphingobium phage N-AFNF0913-43 (taxid=458460, kingdom=10239)
Novosphingobium phage N-AFCM0913-47 (taxid=458461, kingdom=10239)
Novosphingobium phage N-AFCF0714-51 (taxid=458462, kingdom=10239)
Novosphingobium phage N-AFCM0714-52 (taxid=458463, kingdom=10239)
Novosphingobium phage N-AFNF0922-55 (taxid=458464, kingdom=10239)
Sphingomonas phage S-AFNF0615-61 (taxid=458465, kingdom=10239)
Sphingomonas phage S-AFCF0802-69 (taxid=458466, kingdom=10239)
Sphingomonas phage S-AFNF0810-70 (taxid=458467, kingdom=10239)
Sphingomonas phage S-AFCa0824-71 (taxid=458468, kingdom=10239)
Sphingomonas phage S-AFCa0901-72 (taxid=458469, kingdom=10239)
Novosphingobium phage N-AFCa0707-83 (taxid=458470, kingdom=10239)
Novosphingobium phage N-AFCa0714-84 (taxid=458471, kingdom=10239)
Novosphingobium phage N-AFCa0802-85 (taxid=458472, kingdom=10239)
Novosphingobium phage N-AFCM0802-86 (taxid=458473, kingdom=10239)
Novosphingobium phage N-AFCF0901-89 (taxid=458474, kingdom=10239)
Novosphingobium phage N-AFCa0901-90 (taxid=458475, kingdom=10239)
Novosphingobium phage N-AFCM0901-91 (taxid=458476, kingdom=10239)
Novosphingobium phage N-An-FWCa0913-92 (taxid=458477, kingdom=10239)
Pseudomonas phage YuA (taxid=462590, kingdom=10239)
Thermus virus P23-45 (taxid=466051, kingdom=10239)
Thermus virus P74-26 (taxid=466052, kingdom=10239)
Azospirillum phage Cd (taxid=467481, kingdom=10239)
Thalassomonas phage BA3 (taxid=469660, kingdom=10239)
Xipdecavirus Xop411 (taxid=470314, kingdom=10239)
Lactococcus phage 1706 (taxid=475178, kingdom=10239)
Escherichia phage DE3 (taxid=482822, kingdom=10239)
Pseudomonas phage LUZ24 (taxid=484895, kingdom=10239)
Staphylococcus phage phiMR25 (taxid=487152, kingdom=10239)
Burkholderia phage Bups phi1 (taxid=489258, kingdom=10239)
Escherichia phage Phieco32 (taxid=490103, kingdom=10239)
Epseptimavirus EPS7 (taxid=491003, kingdom=10239)
Vibrio phage Kappa (taxid=493906, kingdom=10239)
Lactobacillus phage Lrm1 (taxid=496874, kingdom=10239)
Pseudomonas phage PAJU2 (taxid=504346, kingdom=10239)
Cequinquevirus c5 (taxid=508419, kingdom=10239)
Cyanophage P-RSM1 (taxid=536444, kingdom=10239)
Cyanophage P-RSM3 (taxid=536446, kingdom=10239)
Prochlorococcus phage P-SSM3 (taxid=536453, kingdom=10239)
Prochlorococcus phage P-SSM5 (taxid=536454, kingdom=10239)
Cyanophage S-SSM2 (taxid=536464, kingdom=10239)
Synechococcus phage S-SSM4 (taxid=536466, kingdom=10239)
Cyanophage Syn10 (taxid=536472, kingdom=10239)
Cyanophage Syn2 (taxid=536473, kingdom=10239)
Synechococcus phage Syn30 (taxid=536474, kingdom=10239)
Xanthomonas phage phiL7 (taxid=538979, kingdom=10239)
Enterobacteria phage CUS-3 (taxid=539221, kingdom=10239)
Mycobacterium phage DD5 (taxid=540064, kingdom=10239)
Fromanvirus KBG (taxid=540066, kingdom=10239)
Pukovnikvirus pukovnik (taxid=540068, kingdom=10239)
Clostridium phage phiCP39-O (taxid=541865, kingdom=10239)
Kostyavirus kostya (taxid=546183, kingdom=10239)
Kostyavirus porky (taxid=546185, kingdom=10239)
Bacillus phage PM1 (taxid=547228, kingdom=10239)
Pseudomonas phage LBL3 (taxid=549445, kingdom=10239)
Pseudomonas phage LMA2 (taxid=549446, kingdom=10239)
Iodobacter phage PhiPLPE (taxid=551895, kingdom=10239)
Serratia phage KSP20 (taxid=552527, kingdom=10239)
Serratia phage KSP90 (taxid=552528, kingdom=10239)
Serratia phage KSP100 (taxid=552529, kingdom=10239)
Synechococcus phage S-RSM4 (taxid=555387, kingdom=10239)
Mycobacterium phage Solon (taxid=555603, kingdom=10239)
Erwinia phage phiEa21-4 (taxid=557393, kingdom=10239)
Brujitavirus brujita (taxid=561996, kingdom=10239)
Roseobacter phage RDJL Phi 1 (taxid=562742, kingdom=10239)
Mycobacterium virus Fruitloop (taxid=563119, kingdom=10239)
Mycobacterium virus Pacc40 (taxid=563122, kingdom=10239)
Mycobacterium virus Ramsey (taxid=563123, kingdom=10239)
Stx2-converting phage 1717 (taxid=563769, kingdom=10239)
Enterobacteria phage YYZ-2008 (taxid=564886, kingdom=10239)
Bacteriophage APSE-3 (taxid=568989, kingdom=10239)
Bacteriophage APSE-4 (taxid=568990, kingdom=10239)
Bacteriophage APSE-5 (taxid=568991, kingdom=10239)
Bacteriophage APSE-6 (taxid=568992, kingdom=10239)
Bacteriophage APSE-7 (taxid=568993, kingdom=10239)
Streptococcus phage phi-m46.1 (taxid=571950, kingdom=10239)
Vibrio phage eugene 12A10 (taxid=573172, kingdom=10239)
Vibrio phage helene 12B3 (taxid=573173, kingdom=10239)
Vibrio phage henriette 12B8 (taxid=573174, kingdom=10239)
Vibrio phage jenny 12G5 (taxid=573176, kingdom=10239)
Triavirus IPLA35 (taxid=575610, kingdom=10239)
Escherichia phage JSE (taxid=576789, kingdom=10239)
Escherichia phage JS10 (taxid=576790, kingdom=10239)
Escherichia phage wV8 (taxid=576791, kingdom=10239)
Lactobacillus phage Lv-1 (taxid=578234, kingdom=10239)
Pseudomonas phage 14-1 (taxid=581037, kingdom=10239)
Pseudomonas phage KPP10 (taxid=582345, kingdom=10239)
Pseudomonas phage SN (taxid=582382, kingdom=10239)
Salmonella phage g341c (taxid=590739, kingdom=10239)
Enterococcus phage EFAP-1 (taxid=627087, kingdom=10239)
Vibrio phage VP585 (taxid=631719, kingdom=10239)
Moineauvirus Abc2 (taxid=633135, kingdom=10239)
Shigella phage Ag3 (taxid=637730, kingdom=10239)
Streptococcus phage PH10 (taxid=644007, kingdom=10239)
Shigella phage SP18 (taxid=645664, kingdom=10239)
Enterobacteria phage IP008 (taxid=646460, kingdom=10239)
Staphylococcus phage phiPVL-CN125 (taxid=648017, kingdom=10239)
Enterococcus phage phiEf11 (taxid=663241, kingdom=10239)
Backyardiganvirus peaches (taxid=663557, kingdom=10239)
Kostyavirus pumpkin (taxid=663559, kingdom=10239)
Delftia phage PhiW-14 (taxid=665032, kingdom=10239)
Staphylococcus phage P954 (taxid=668618, kingdom=10239)
Escherichia phage vB_EcoM_ECO1230-10 (taxid=669875, kingdom=10239)
Xylella phage Xfas53 (taxid=670252, kingdom=10239)
Sodalis phage SO1 (taxid=673375, kingdom=10239)
Clostridium phage phiCP26F (taxid=673376, kingdom=10239)
Enterococcus phage phiFL3A (taxid=673837, kingdom=10239)
Enterococcus phage phiFL3B (taxid=673838, kingdom=10239)
Brussowvirus ALQ132 (taxid=682370, kingdom=10239)
Cyanophage S-SSM6a (taxid=682650, kingdom=10239)
Cyanophage S-SSM6b (taxid=682651, kingdom=10239)
Aggregatibacter phage S1249 (taxid=683735, kingdom=10239)
Mycobacterium virus Ardmore (taxid=685506, kingdom=10239)
Pseudomonas phage PaP1 (taxid=685892, kingdom=10239)
Cyanophage S-RIM17 (taxid=687799, kingdom=10239)
Synechococcus phage S-RIM2 (taxid=687800, kingdom=10239)
Cyanophage S-RIM24 (taxid=687801, kingdom=10239)
Cyanophage S-RIM49 (taxid=687802, kingdom=10239)
Cyanophage S-RIM50 (taxid=687803, kingdom=10239)
Rhodococcus phage ReqiPoco6 (taxid=691964, kingdom=10239)
Rhodococcus phage ReqiPepy6 (taxid=691965, kingdom=10239)
Rhodococcus phage ReqiDocB7 (taxid=691966, kingdom=10239)
Staphylococcus phage SA1 (taxid=694060, kingdom=10239)
Escherichia phage RES-2009a (taxid=696218, kingdom=10239)
Enterobacteria phage RB4 (taxid=697288, kingdom=10239)
Enterobacteria phage RB55 (taxid=697289, kingdom=10239)
Enterobacteria phage RB59 (taxid=697290, kingdom=10239)
Enterobacteria phage RB7 (taxid=697291, kingdom=10239)
Escherichia phage K1H (taxid=698487, kingdom=10239)
Escherichia phage IME08 (taxid=698728, kingdom=10239)
Vibrio phage SIO-2 (taxid=700512, kingdom=10239)
Enterobacteria phage vB_EcoM-VR20 (taxid=700937, kingdom=10239)
Enterobacteria phage vB_EcoM-VR5 (taxid=700938, kingdom=10239)
