MGYP,ERZ_x,MGYC,Start,End,Strand,Contig,MGYA,Contig Length,Phage,Number of CDSes
MGYP001565548540,ERZ1292616,MGYC000052473666,12330,13520,1,ERZ1292616.541-Hain-H52-01um-R1-541-length-38569-cov-20.037025,MGYA00593674,38.569,False,55
MGYP001565548540,ERZ1292617,MGYC000037943027,25437,26627,1,ERZ1292617.519-Hain-H52-01um-R3-519-length-38540-cov-14.823256,MGYA00593675,38.54,False,55
MGYP001565548540,ERZ1292618,MGYC000046170432,14987,16177,1,ERZ1292618.506-Hain-H52-01um-R2-506-length-38569-cov-26.893519,MGYA00593676,38.569,False,55
MGYP001566027857,ERZ1292616,MGYC000052473186,14822,16153,1,ERZ1292616.61-Hain-H52-01um-R1-61-length-96798-cov-8.517278,MGYA00593674,96.798,False,152
MGYP001566027857,ERZ1292617,MGYC000037942794,30910,32241,-1,ERZ1292617.286-Hain-H52-01um-R3-286-length-47923-cov-5.111327,MGYA00593675,47.923,False,66
MGYP001566027857,ERZ1292618,MGYC000046169966,14830,16161,1,ERZ1292618.40-Hain-H52-01um-R2-40-length-111539-cov-8.693023,MGYA00593676,111.539,False,195
MGYP001566083581,ERZ1292643,MGYC000032866796,10111,10938,-1,ERZ1292643.797-Hain-H51-01um-R3-797-length-28021-cov-6.126654,MGYA00564391,28.021,False,40
MGYP001567073528,ERZ1292616,MGYC000052473543,16533,17780,-1,ERZ1292616.418-Hain-H52-01um-R1-418-length-42700-cov-26.914691,MGYA00593674,42.7,False,51
MGYP001567073528,ERZ1292617,MGYC000037942920,12563,13810,-1,ERZ1292617.412-Hain-H52-01um-R3-412-length-42701-cov-21.077241,MGYA00593675,42.701,False,54
MGYP001567073528,ERZ1292618,MGYC000046170545,25303,26550,-1,ERZ1292618.619-Hain-H52-01um-R2-619-length-34441-cov-32.713692,MGYA00593676,34.441,False,34
MGYP001567167885,ERZ1292616,MGYC000052473949,6729,7694,1,ERZ1292616.824-Hain-H52-01um-R1-824-length-30318-cov-306.649605,MGYA00593674,30.318,False,29
MGYP001567167885,ERZ1292617,MGYC000037942784,33300,34265,-1,ERZ1292617.276-Hain-H52-01um-R3-276-length-48358-cov-180.959216,MGYA00593675,48.358,False,68
MGYP001567167885,ERZ1292618,MGYC000046170694,22625,23590,-1,ERZ1292618.768-Hain-H52-01um-R2-768-length-30240-cov-344.568461,MGYA00593676,30.24,False,28
MGYP001567167885,ERZ1292643,MGYC000032866700,17404,18369,1,ERZ1292643.701-Hain-H51-01um-R3-701-length-30777-cov-37.077534,MGYA00564391,30.777,False,49
MGYP001567241284,ERZ1292616,MGYC000052473836,14931,15839,1,ERZ1292616.711-Hain-H52-01um-R1-711-length-33374-cov-7.714727,MGYA00593674,33.374,False,44
MGYP001567241284,ERZ1292617,MGYC000037943538,11313,12221,-1,ERZ1292617.1030-Hain-H52-01um-R3-1030-length-25351-cov-6.127095,MGYA00593675,25.351,False,35
MGYP001567664054,ERZ1292616,MGYC000052473802,9121,10065,1,ERZ1292616.677-Hain-H52-01um-R1-677-length-34401-cov-55.305945,MGYA00593674,34.401,False,47
MGYP001567664054,ERZ1292617,MGYC000037943099,24666,25610,-1,ERZ1292617.591-Hain-H52-01um-R3-591-length-36089-cov-32.779292,MGYA00593675,36.089,False,50
MGYP001567664054,ERZ1292618,MGYC000046170582,24186,25130,-1,ERZ1292618.656-Hain-H52-01um-R2-656-length-33188-cov-55.872121,MGYA00593676,33.188,False,43
MGYP001567938684,ERZ1292616,MGYC000052474011,11186,12511,-1,ERZ1292616.886-Hain-H52-01um-R1-886-length-29122-cov-53.240444,MGYA00593674,29.122,False,40
MGYP001567938684,ERZ1292617,MGYC000037943346,11268,12593,-1,ERZ1292617.838-Hain-H52-01um-R3-838-length-29204-cov-34.174140,MGYA00593675,29.204,False,40
MGYP001567938684,ERZ1292618,MGYC000046170697,12068,13393,-1,ERZ1292618.771-Hain-H52-01um-R2-771-length-30004-cov-57.442419,MGYA00593676,30.004,False,42
MGYP001568040750,ERZ1463014,MGYC000057385254,33483,34853,-1,ERZ1463014.16-NODE-16-length-109890-cov-52.921045,MGYA00564496,109.89,False,160
MGYP001568040750,ERZ1463016,MGYC000057499108,35072,36442,1,ERZ1463016.18-NODE-18-length-66085-cov-22.172785,MGYA00564495,66.085,False,90
MGYP001568040750,ERZ1463020,MGYC000057652167,2421,3791,-1,ERZ1463020.227-NODE-227-length-26582-cov-168.709390,MGYA00564499,26.582,False,41
MGYP001568040750,ERZ1463036,MGYC000057559940,35197,36567,1,ERZ1463036.9-NODE-9-length-66037-cov-38.362432,MGYA00564485,66.037,False,90
MGYP001568125259,ERZ1292616,MGYC000052473745,13722,14567,1,ERZ1292616.620-Hain-H52-01um-R1-620-length-35797-cov-7.182195,MGYA00593674,35.797,False,52
MGYP001568367003,ERZ1292618,MGYC000046170742,12903,13814,1,ERZ1292618.816-Hain-H52-01um-R2-816-length-28838-cov-114.799118,MGYA00593676,28.838,False,43
MGYP001569516558,ERZ1292618,MGYC000046170749,16233,17162,-1,ERZ1292618.823-Hain-H52-01um-R2-823-length-28629-cov-6.369672,MGYA00593676,28.629,False,42
MGYP001569650660,ERZ2772551,MGYC001060592987,5123,6031,-1,ERZ2772551.160-NODE-160-length-34252-cov-7.438898,MGYA00587079,34.252,False,43
MGYP001569750243,ERZ1463024,MGYC000057358053,13662,14549,-1,ERZ1463024.23-NODE-23-length-26348-cov-204.945309,MGYA00564491,26.348,False,35
MGYP001569750243,ERZ1463028,MGYC000057294744,7745,8632,1,ERZ1463028.109-NODE-109-length-34587-cov-13.006660,MGYA00564490,34.587,False,50
MGYP001569750243,ERZ1463032,MGYC000056961278,26084,26971,-1,ERZ1463032.30-NODE-30-length-34710-cov-290.518569,MGYA00564487,34.71,False,50
MGYP001569750243,ERZ1463038,MGYC000057269582,31571,32458,1,ERZ1463038.7-NODE-7-length-52592-cov-251.731789,MGYA00564479,52.592,False,65
MGYP001569831553,ERZ1292616,MGYC000052473444,18861,19991,-1,ERZ1292616.319-Hain-H52-01um-R1-319-length-46722-cov-45.629803,MGYA00593674,46.722,False,60
MGYP001569831553,ERZ1292617,MGYC000037942814,18861,19991,-1,ERZ1292617.306-Hain-H52-01um-R3-306-length-46722-cov-27.644910,MGYA00593675,46.722,False,60
MGYP001569831553,ERZ1292618,MGYC000046170233,18861,19991,-1,ERZ1292618.307-Hain-H52-01um-R2-307-length-46722-cov-50.421176,MGYA00593676,46.722,False,60
MGYP001569831553,ERZ1292627,MGYC000038162877,13826,14956,-1,ERZ1292627.648-Hain-H51-01um-R2-648-length-34259-cov-10.298620,MGYA00593681,34.259,False,32
MGYP001569831553,ERZ1292643,MGYC000032866320,26450,27580,1,ERZ1292643.321-Hain-H51-01um-R3-321-length-45755-cov-17.865733,MGYA00564391,45.755,False,58
MGYP001570046100,ERZ1292616,MGYC000052473375,8640,10877,1,ERZ1292616.250-Hain-H52-01um-R1-250-length-50558-cov-22.902006,MGYA00593674,50.558,False,81
MGYP001570046100,ERZ1292618,MGYC000046170179,47438,49675,1,ERZ1292618.253-Hain-H52-01um-R2-253-length-50864-cov-30.858549,MGYA00593676,50.864,False,83
MGYP001570609098,ERZ1292643,MGYC000032866639,15507,16814,-1,ERZ1292643.640-Hain-H51-01um-R3-640-length-32513-cov-26.561033,MGYA00564391,32.513,False,60
MGYP001570877452,ERZ1463031,MGYC000057125457,2820,4190,1,ERZ1463031.57-NODE-57-length-36565-cov-80.919748,MGYA00564488,36.565,False,32
MGYP001571278705,ERZ1292616,MGYC000052473589,6519,7682,-1,ERZ1292616.464-Hain-H52-01um-R1-464-length-40948-cov-6.464383,MGYA00593674,40.948,False,65
MGYP001571278705,ERZ1292617,MGYC000037943267,17419,18582,-1,ERZ1292617.759-Hain-H52-01um-R3-759-length-31033-cov-6.344147,MGYA00593675,31.033,False,47
MGYP001571278705,ERZ1292618,MGYC000046170359,18088,19251,1,ERZ1292618.433-Hain-H52-01um-R2-433-length-40948-cov-9.513486,MGYA00593676,40.948,False,65
MGYP001571278705,ERZ1292638,MGYC000045004662,24446,25609,-1,ERZ1292638.701-NODE-701-length-29338-cov-8.264932,MGYA00564394,29.338,False,38
MGYP001571329811,ERZ1292643,MGYC000032866536,16478,17845,-1,ERZ1292643.537-Hain-H51-01um-R3-537-length-36239-cov-17.441162,MGYA00564391,36.239,False,51
MGYP001571835428,ERZ1292616,MGYC000052473342,21134,22333,-1,ERZ1292616.217-Hain-H52-01um-R1-217-length-54782-cov-7.319495,MGYA00593674,54.782,False,76
MGYP001571835428,ERZ1292618,MGYC000046170142,38537,39736,-1,ERZ1292618.216-Hain-H52-01um-R2-216-length-54815-cov-8.496950,MGYA00593676,54.815,False,75
MGYP001571949795,ERZ1292616,MGYC000052474167,9635,10612,1,ERZ1292616.1042-Hain-H52-01um-R1-1042-length-26385-cov-64.433156,MGYA00593674,26.385,False,26
MGYP001571949795,ERZ1292618,MGYC000046170923,14778,15755,-1,ERZ1292618.997-Hain-H52-01um-R2-997-length-25389-cov-67.662233,MGYA00593676,25.389,False,27
MGYP001571950045,ERZ1292618,MGYC000046170395,19479,20522,1,ERZ1292618.469-Hain-H52-01um-R2-469-length-40038-cov-7.522747,MGYA00593676,40.038,False,62
MGYP001572631300,ERZ1292616,MGYC000052474229,15974,17110,1,ERZ1292616.1104-Hain-H52-01um-R1-1104-length-25238-cov-6.910972,MGYA00593674,25.238,False,29
MGYP001572631300,ERZ1292618,MGYC000046170322,18711,19847,1,ERZ1292618.396-Hain-H52-01um-R2-396-length-42954-cov-9.437912,MGYA00593676,42.954,False,64
MGYP001572807944,ERZ1292618,MGYC000046170690,16310,17227,-1,ERZ1292618.764-Hain-H52-01um-R2-764-length-30273-cov-6.867496,MGYA00593676,30.273,False,37
MGYP001573638360,ERZ3455807,MGYC001294356433,20453,21385,1,ERZ3455807.66-NODE-66-length-39794-cov-35.358212,MGYA00590771,39.794,False,35
MGYP001574123224,ERZ1292617,MGYC000037942517,44354,46249,-1,ERZ1292617.9-Hain-H52-01um-R3-9-length-207041-cov-60.737267,MGYA00593675,207.041,False,264
MGYP001574123224,ERZ1292618,MGYC000046169956,74327,76222,1,ERZ1292618.30-Hain-H52-01um-R2-30-length-126724-cov-66.429537,MGYA00593676,126.724,False,136
MGYP001574194798,ERZ1292627,MGYC000038163191,15750,17249,-1,ERZ1292627.962-Hain-H51-01um-R2-962-length-27912-cov-7.129339,MGYA00593681,27.912,False,39
MGYP001574334441,ERZ1292643,MGYC000032866565,29561,30592,-1,ERZ1292643.566-Hain-H51-01um-R3-566-length-35185-cov-7.430487,MGYA00564391,35.185,False,54
MGYP001574754953,ERZ1505399,MGYC000068154318,6988,7836,1,ERZ1505399.394-NODE-394-length-26523-cov-6.682787,MGYA00572444,26.523,False,29
MGYP001575123211,ERZ1292627,MGYC000038162298,86531,87553,1,ERZ1292627.69-Hain-H51-01um-R2-69-length-97538-cov-16.248341,MGYA00593681,97.538,False,157
MGYP001575123211,ERZ1292643,MGYC000032866324,34579,35601,1,ERZ1292643.325-Hain-H51-01um-R3-325-length-45586-cov-30.689684,MGYA00564391,45.586,False,83
MGYP001575301909,ERZ1292627,MGYC000038163402,10465,11700,-1,ERZ1292627.1173-Hain-H51-01um-R2-1173-length-25194-cov-6.563507,MGYA00593681,25.194,False,27
MGYP001575301909,ERZ1292643,MGYC000032866623,19540,20775,-1,ERZ1292643.624-Hain-H51-01um-R3-624-length-33080-cov-11.343740,MGYA00564391,33.08,False,30
MGYP001575723335,ERZ1292617,MGYC000037943485,15027,16211,-1,ERZ1292617.977-Hain-H52-01um-R3-977-length-26243-cov-12.040667,MGYA00593675,26.243,False,41
MGYP001576343993,ERZ1505397,MGYC000067037338,55065,56426,-1,ERZ1505397.5-NODE-5-length-85865-cov-6.893194,MGYA00572446,85.865,False,98
MGYP001576362894,ERZ1292643,MGYC000032866445,3980,5713,-1,ERZ1292643.446-Hain-H51-01um-R3-446-length-40028-cov-8.151602,MGYA00564391,40.028,False,46
MGYP001576579227,ERZ1292643,MGYC000032866568,9944,10801,1,ERZ1292643.569-Hain-H51-01um-R3-569-length-35128-cov-5.648676,MGYA00564391,35.128,False,52
MGYP001576611512,ERZ1292616,MGYC000052474053,18998,20218,-1,ERZ1292616.928-Hain-H52-01um-R1-928-length-28181-cov-13.047109,MGYA00593674,28.181,False,30
MGYP001576611512,ERZ1292617,MGYC000037943542,5084,6304,1,ERZ1292617.1034-Hain-H52-01um-R3-1034-length-25301-cov-7.112137,MGYA00593675,25.301,False,26
MGYP001576611512,ERZ1292618,MGYC000046170926,7964,9184,1,ERZ1292618.1000-Hain-H52-01um-R2-1000-length-25358-cov-15.292060,MGYA00593676,25.358,False,23
MGYP001576675459,ERZ1292643,MGYC000032866899,1547,2893,1,ERZ1292643.900-Hain-H51-01um-R3-900-length-25721-cov-6.101730,MGYA00564391,25.721,False,31
MGYP001577044100,ERZ1292617,MGYC000037942759,8516,10753,1,ERZ1292617.251-Hain-H52-01um-R3-251-length-50864-cov-16.603161,MGYA00593675,50.864,False,84
MGYP001577856915,ERZ1292643,MGYC000032866380,10830,12038,-1,ERZ1292643.381-Hain-H51-01um-R3-381-length-42944-cov-6.183893,MGYA00564391,42.944,False,67
MGYP001577889901,ERZ1292616,MGYC000052473523,9155,10306,-1,ERZ1292616.398-Hain-H52-01um-R1-398-length-43366-cov-7.341576,MGYA00593674,43.366,False,63
MGYP001577889901,ERZ1292618,MGYC000046170270,35112,36263,-1,ERZ1292618.344-Hain-H52-01um-R2-344-length-44573-cov-8.958219,MGYA00593676,44.573,False,62
MGYP001578987317,ERZ2772551,MGYC001060592880,19131,19991,1,ERZ2772551.148-NODE-148-length-35466-cov-6.254441,MGYA00587079,35.466,False,53
MGYP001579145009,ERZ1292616,MGYC000052473400,2816,3754,-1,ERZ1292616.275-Hain-H52-01um-R1-275-length-49231-cov-5.656397,MGYA00593674,49.231,False,71
MGYP001579145009,ERZ1292618,MGYC000046170049,37985,38923,-1,ERZ1292618.123-Hain-H52-01um-R2-123-length-68558-cov-9.024758,MGYA00593676,68.558,False,104
MGYP001579345120,ERZ1292627,MGYC000038162598,27964,28926,-1,ERZ1292627.369-Hain-H51-01um-R2-369-length-44735-cov-20.305461,MGYA00593681,44.735,False,80
MGYP001579345120,ERZ1292643,MGYC000032866338,27964,28926,-1,ERZ1292643.339-Hain-H51-01um-R3-339-length-44711-cov-36.347098,MGYA00564391,44.711,False,80
MGYP001579619506,ERZ2772551,MGYC001060593856,14040,15173,1,ERZ2772551.256-NODE-256-length-28189-cov-15.744402,MGYA00587079,28.189,False,30
MGYP001579728228,ERZ1292616,MGYC000052473593,22697,23614,-1,ERZ1292616.468-Hain-H52-01um-R1-468-length-40879-cov-10.725578,MGYA00593674,40.879,False,60
MGYP001579728228,ERZ1292617,MGYC000037942971,21832,22749,-1,ERZ1292617.463-Hain-H52-01um-R3-463-length-40418-cov-9.585090,MGYA00593675,40.418,False,59
MGYP001579728228,ERZ1292618,MGYC000046170364,23375,24292,-1,ERZ1292618.438-Hain-H52-01um-R2-438-length-40860-cov-15.953878,MGYA00593676,40.86,False,62
MGYP001579730185,ERZ1292627,MGYC000038162875,27806,28732,-1,ERZ1292627.646-Hain-H51-01um-R2-646-length-34288-cov-6.008647,MGYA00593681,34.288,False,30
MGYP001579730185,ERZ1292643,MGYC000032866637,26052,26978,-1,ERZ1292643.638-Hain-H51-01um-R3-638-length-32534-cov-9.440716,MGYA00564391,32.534,False,28
MGYP001580207689,ERZ1505401,MGYC000067370083,21772,23373,-1,ERZ1505401.94-NODE-94-length-49801-cov-12.954529,MGYA00572443,49.801,False,71
MGYP001580434718,ERZ1292643,MGYC000032866116,51827,53170,-1,ERZ1292643.117-Hain-H51-01um-R3-117-length-72674-cov-7.772594,MGYA00564391,72.674,False,66
MGYP001580471465,ERZ1505402,MGYC000066468272,14833,15804,-1,ERZ1505402.475-NODE-475-length-28379-cov-6.367568,MGYA00571602,28.379,False,32
MGYP001580485420,ERZ1463033,MGYC000056901776,10274,11149,-1,ERZ1463033.8-NODE-8-length-35434-cov-8.680828,MGYA00564481,35.434,False,35
MGYP001580527192,ERZ1292616,MGYC000052473496,15458,16618,1,ERZ1292616.371-Hain-H52-01um-R1-371-length-44518-cov-10.809864,MGYA00593674,44.518,False,68
MGYP001580527192,ERZ1292617,MGYC000037942874,28868,30028,1,ERZ1292617.366-Hain-H52-01um-R3-366-length-44386-cov-6.478649,MGYA00593675,44.386,False,69
MGYP001580527192,ERZ1292618,MGYC000046170278,39744,40904,1,ERZ1292618.352-Hain-H52-01um-R2-352-length-44439-cov-11.369029,MGYA00593676,44.439,False,69
MGYP001580644748,ERZ1292643,MGYC000032866454,14615,15532,-1,ERZ1292643.455-Hain-H51-01um-R3-455-length-39790-cov-11.730238,MGYA00564391,39.79,False,63
MGYP001581017709,ERZ1292643,MGYC000032866511,14352,15203,1,ERZ1292643.512-Hain-H51-01um-R3-512-length-37193-cov-7.695379,MGYA00564391,37.193,False,66
MGYP001581209538,ERZ1505403,MGYC000066004750,21747,23027,1,ERZ1505403.256-NODE-256-length-27784-cov-6.486891,MGYA00571601,27.784,False,28
MGYP001581572508,ERZ1292643,MGYC000032866875,13500,14606,1,ERZ1292643.876-Hain-H51-01um-R3-876-length-26228-cov-21.493715,MGYA00564391,26.228,False,29
MGYP001581601380,ERZ1292616,MGYC000052473632,5055,5981,-1,ERZ1292616.507-Hain-H52-01um-R1-507-length-39786-cov-7.909894,MGYA00593674,39.786,False,59
MGYP001581601380,ERZ1292617,MGYC000037943381,21454,22380,1,ERZ1292617.873-Hain-H52-01um-R3-873-length-28322-cov-5.418049,MGYA00593675,28.322,False,45
MGYP001581601380,ERZ1292618,MGYC000046170347,34244,35170,1,ERZ1292618.421-Hain-H52-01um-R2-421-length-41624-cov-9.584979,MGYA00593676,41.624,False,58
MGYP001582742350,ERZ1292618,MGYC000046170441,2645,4666,1,ERZ1292618.515-Hain-H52-01um-R2-515-length-38226-cov-10.330251,MGYA00593676,38.226,False,65
MGYP001582766530,ERZ1292627,MGYC000038162663,37139,38185,1,ERZ1292627.434-Hain-H51-01um-R2-434-length-41657-cov-6.254699,MGYA00593681,41.657,False,60
MGYP001582766530,ERZ1292643,MGYC000032866411,15258,16304,1,ERZ1292643.412-Hain-H51-01um-R3-412-length-41550-cov-11.709242,MGYA00564391,41.55,False,61
MGYP001582857662,ERZ1292643,MGYC000032866429,28719,29714,-1,ERZ1292643.430-Hain-H51-01um-R3-430-length-40670-cov-8.154007,MGYA00564391,40.67,False,48
MGYP001582932826,ERZ1463016,MGYC000057499176,20363,21370,-1,ERZ1463016.86-NODE-86-length-34856-cov-18.301170,MGYA00564495,34.856,False,45
MGYP001584493075,ERZ1292617,MGYC000037943050,24736,25650,-1,ERZ1292617.542-Hain-H52-01um-R3-542-length-37634-cov-8.525187,MGYA00593675,37.634,False,58
MGYP001584493075,ERZ1292618,MGYC000046170418,13499,14413,1,ERZ1292618.492-Hain-H52-01um-R2-492-length-39026-cov-13.394627,MGYA00593676,39.026,False,63
MGYP001584693876,ERZ1292618,MGYC000046170727,3160,4731,1,ERZ1292618.801-Hain-H52-01um-R2-801-length-29313-cov-43.194955,MGYA00593676,29.313,False,42
MGYP001585163669,ERZ1292617,MGYC000037943242,10628,11599,-1,ERZ1292617.734-Hain-H52-01um-R3-734-length-31697-cov-5.547469,MGYA00593675,31.697,False,53
MGYP001585163669,ERZ1292618,MGYC000046170384,33465,34436,1,ERZ1292618.458-Hain-H52-01um-R2-458-length-40321-cov-9.897829,MGYA00593676,40.321,False,65
MGYP001585176952,ERZ1292616,MGYC000052473546,24940,26199,-1,ERZ1292616.421-Hain-H52-01um-R1-421-length-42546-cov-26.487374,MGYA00593674,42.546,False,59
MGYP001585176952,ERZ1292617,MGYC000037942924,39193,40452,-1,ERZ1292617.416-Hain-H52-01um-R3-416-length-42554-cov-17.950964,MGYA00593675,42.554,False,59
MGYP001585176952,ERZ1292618,MGYC000046170333,24888,26147,-1,ERZ1292618.407-Hain-H52-01um-R2-407-length-42463-cov-29.374316,MGYA00593676,42.463,False,59
MGYP001585176980,ERZ1292618,MGYC000046170748,7926,8894,1,ERZ1292618.822-Hain-H52-01um-R2-822-length-28639-cov-5.486601,MGYA00593676,28.639,False,30
MGYP001585203877,ERZ1505402,MGYC000066467892,47235,49193,-1,ERZ1505402.95-NODE-95-length-63420-cov-28.911197,MGYA00571602,63.42,False,52
MGYP001594716832,ERZ1505402,MGYC000066467892,46314,47186,-1,ERZ1505402.95-NODE-95-length-63420-cov-28.911197,MGYA00571602,63.42,False,52
MGYP001585312428,ERZ1463020,MGYC000057652124,18047,19321,-1,ERZ1463020.184-NODE-184-length-30618-cov-18.532899,MGYA00564499,30.618,False,52
MGYP001585312428,ERZ1463029,MGYC000057451489,23010,24284,-1,ERZ1463029.2-NODE-2-length-32224-cov-7.927725,MGYA00564489,32.224,False,56
MGYP001585338911,ERZ1292627,MGYC000038162920,8314,9321,1,ERZ1292627.691-Hain-H51-01um-R2-691-length-33173-cov-10.140860,MGYA00593681,33.173,False,36
MGYP001585338911,ERZ1292643,MGYC000032866577,8392,9399,1,ERZ1292643.578-Hain-H51-01um-R3-578-length-34832-cov-15.153780,MGYA00564391,34.832,False,39
