MGYP,Biome Category,Biome Type,Biome Subtype,Ecosystem Type,Specific Ecosystem
MGYP000131233602,Host-associated,Human,Digestive system,,
MGYP000131233602,Host-associated,Human,Digestive system,Large intestine,
MGYP000131233602,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000131233602,Host-associated,Mammals,Digestive system,Fecal,
MGYP000133107106,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000133107106,Host-associated,Human,Digestive system,Large intestine,Sigmoid colon
MGYP000133107106,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000134236714,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000136147697,Host-associated,Human,Digestive system,Large intestine,
MGYP000136147697,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000137119896,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000139100661,,,,,
MGYP000139100661,Host-associated,Birds,Digestive system,,
MGYP000139100661,Host-associated,Human,Digestive system,,
MGYP000139100661,Host-associated,Human,Digestive system,Large intestine,
MGYP000139100661,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000139100661,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000150420554,Host-associated,Human,Digestive system,,
MGYP000150420554,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000150420554,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000150420554,Mixed,,,,
MGYP000157970448,Environmental,Aquatic,Marine,,
MGYP000166735219,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000167284497,Engineered,Wastewater,Activated Sludge,,
MGYP000169731517,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000180138347,Host-associated,Human,Digestive system,,
MGYP000180138347,Host-associated,Human,Digestive system,Large intestine,
MGYP000180138347,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000181460370,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000184092838,Environmental,Aquatic,Marine,Oceanic,Photic zone
MGYP000184925895,Environmental,Aquatic,Marine,,
MGYP000189593907,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000197612259,Engineered,Wastewater,,,
MGYP000197612259,Host-associated,Human,Digestive system,,
MGYP000197612259,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000197612259,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000200889043,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000212344843,Host-associated,Human,,,
MGYP000212344843,Host-associated,Human,Digestive system,,
MGYP000212344843,Host-associated,Human,Digestive system,Large intestine,
MGYP000212344843,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000212344843,Host-associated,Mammals,Digestive system,Fecal,
MGYP000212344843,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000215260709,Host-associated,Human,Digestive system,,
MGYP000215260709,Host-associated,Human,Digestive system,Large intestine,
MGYP000215260709,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000215260709,Host-associated,Mammals,Digestive system,Fecal,
MGYP000215260709,Mixed,,,,
MGYP000216743126,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000218991389,Host-associated,Human,Digestive system,Large intestine,
MGYP000218991389,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000220373720,Environmental,Aquatic,Marine,Intertidal zone,Estuary
MGYP000224374348,Host-associated,Human,,,
MGYP000224374348,Host-associated,Human,Digestive system,Large intestine,
MGYP000224374348,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000224374348,Host-associated,Human,Digestive system,Large intestine,Sigmoid colon
MGYP000234430346,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000234578068,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000236042664,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000236137781,Mixed,,,,
MGYP000236489926,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000237508066,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000238960271,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000241018281,Environmental,Aquatic,Marine,Intertidal zone,Estuary
MGYP000244606889,Environmental,Aquatic,Marine,,
MGYP000244606889,Environmental,Aquatic,Marine,Oceanic,
MGYP000248784877,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000249295618,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000256924453,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000258102644,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000258922868,Environmental,Aquatic,Marine,Oceanic,
MGYP000265641871,Host-associated,Human,,,
MGYP000265641871,Host-associated,Human,Digestive system,,
MGYP000265641871,Host-associated,Human,Digestive system,Large intestine,
MGYP000265641871,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000265641871,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000271170847,Environmental,Aquatic,Marine,,
MGYP000271170847,Environmental,Aquatic,Marine,Oceanic,
MGYP000271874914,Host-associated,Human,Digestive system,,
MGYP000271874914,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000274412832,Host-associated,Human,Digestive system,,
MGYP000274412832,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000275805277,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000275899355,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000275899355,Host-associated,Human,Digestive system,Large intestine,Sigmoid colon
MGYP000278747826,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000284114529,Host-associated,Human,Skin,,
MGYP000286841699,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000286841699,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000292815046,Host-associated,Human,Digestive system,,
MGYP000292815046,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000293575766,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000294618635,Environmental,Aquatic,Marine,,
MGYP000294618635,Environmental,Aquatic,Marine,Oceanic,
MGYP000294905374,Host-associated,Human,Digestive system,,
MGYP000296441433,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000299389272,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000299998028,Environmental,Aquatic,Marine,Intertidal zone,Estuary
MGYP000303765274,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000303765274,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000303765274,Mixed,,,,
MGYP000304329166,Engineered,Wastewater,Water and sludge,,
MGYP000305296747,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000305901162,Environmental,Aquatic,Freshwater,Ice,Glacier
MGYP000307068773,Host-associated,Human,,,
MGYP000307068773,Host-associated,Human,Digestive system,,
MGYP000307068773,Host-associated,Human,Digestive system,Large intestine,
MGYP000307068773,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000307068773,Host-associated,Human,Digestive system,Large intestine,Sigmoid colon
MGYP000312680888,Host-associated,Human,Digestive system,,
MGYP000313389269,Host-associated,Human,Digestive system,Large intestine,
MGYP000313389269,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000316064180,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000321450472,Host-associated,Human,Digestive system,,
MGYP000321450472,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000321450472,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000324372200,Host-associated,Birds,,,
MGYP000324372200,Host-associated,Human,,,
MGYP000324372200,Host-associated,Human,Digestive system,,
MGYP000324372200,Host-associated,Human,Digestive system,Large intestine,
MGYP000324372200,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000324372200,Host-associated,Human,Digestive system,Large intestine,Sigmoid colon
MGYP000324372200,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000324372200,Mixed,,,,
MGYP000332737556,Environmental,Aquatic,Marine,,
MGYP000332737556,Environmental,Aquatic,Marine,Oceanic,
MGYP000336449723,Host-associated,Human,Digestive system,,
MGYP000336449723,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000336758910,Host-associated,Human,Digestive system,Large intestine,
MGYP000336758910,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000336767234,Host-associated,Human,Digestive system,Large intestine,
MGYP000336767234,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000345353568,Host-associated,Human,Digestive system,,
MGYP000345353568,Host-associated,Human,Digestive system,Large intestine,
MGYP000345353568,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000345353568,Host-associated,Human,Digestive system,Large intestine,Sigmoid colon
MGYP000348306385,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000351440644,Host-associated,Human,Digestive system,,
MGYP000352468595,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000355333620,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000362831547,Host-associated,Human,Digestive system,,
MGYP000362831547,Host-associated,Human,Digestive system,Large intestine,
MGYP000362831547,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000362831547,Host-associated,Mammals,Digestive system,Fecal,
MGYP000362831547,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000366671743,Environmental,Aquatic,Marine,,
MGYP000366671743,Environmental,Aquatic,Marine,Oceanic,
MGYP000368963422,Host-associated,Human,Digestive system,,
MGYP000368963422,Host-associated,Human,Digestive system,Large intestine,
MGYP000368963422,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000368963422,Host-associated,Human,Digestive system,Large intestine,Sigmoid colon
MGYP000369174624,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000369174624,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000370158851,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000371559194,Engineered,Wastewater,Water and sludge,,
MGYP000371559194,Host-associated,Human,Digestive system,,
MGYP000371559194,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000371559194,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000373467766,Host-associated,Human,Digestive system,Large intestine,
MGYP000373467766,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000377540521,Host-associated,Human,Digestive system,,
MGYP000377540521,Host-associated,Human,Digestive system,Large intestine,
MGYP000377540521,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000377540521,Host-associated,Mammals,Digestive system,Fecal,
MGYP000383463957,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000383995054,Engineered,Wastewater,,,
MGYP000383995054,Host-associated,Human,Digestive system,,
MGYP000383995054,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000384898641,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000384958797,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000386862634,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000389299366,Host-associated,Human,Digestive system,,
MGYP000389299366,Host-associated,Human,Digestive system,Large intestine,
MGYP000389299366,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000390790392,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000392276880,Host-associated,Human,,,
MGYP000392276880,Host-associated,Human,Digestive system,,
MGYP000392276880,Host-associated,Human,Digestive system,Large intestine,
MGYP000392276880,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000392276880,Host-associated,Human,Digestive system,Large intestine,Sigmoid colon
MGYP000392276880,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000397969387,Environmental,Aquatic,Marine,,
MGYP000403980963,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000403980963,Engineered,Wastewater,,,
MGYP000403980963,Engineered,Wastewater,Water and sludge,,
MGYP000403980963,Host-associated,Human,,,
MGYP000403980963,Host-associated,Human,Digestive system,,
MGYP000403980963,Host-associated,Human,Digestive system,Large intestine,
MGYP000403980963,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000403980963,Host-associated,Human,Digestive system,Large intestine,Sigmoid colon
MGYP000403980963,Host-associated,Mammals,Digestive system,Fecal,
MGYP000403980963,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000403980963,Mixed,,,,
MGYP000404124825,Host-associated,Human,Digestive system,Large intestine,
MGYP000404124825,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000404124825,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000407495045,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000415641652,Environmental,Aquatic,Marine,,
MGYP000415641652,Environmental,Aquatic,Marine,Oceanic,
MGYP000416313578,Mixed,,,,
MGYP000421531091,Environmental,Aquatic,Marine,,
MGYP000421531091,Environmental,Aquatic,Marine,Oceanic,
MGYP000423297015,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000425095911,Host-associated,Human,,,
MGYP000425095911,Host-associated,Human,Digestive system,,
MGYP000425095911,Host-associated,Human,Digestive system,Large intestine,
MGYP000425095911,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000427579110,Host-associated,Human,,,
MGYP000427579110,Host-associated,Human,Digestive system,,
MGYP000427579110,Host-associated,Human,Digestive system,Large intestine,
MGYP000427579110,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000427579110,Host-associated,Human,Digestive system,Large intestine,Sigmoid colon
MGYP000427579110,Host-associated,Mammals,Digestive system,Fecal,
MGYP000427579110,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000430909014,Engineered,Wastewater,,,
MGYP000430909014,Engineered,Wastewater,Water and sludge,,
MGYP000430909014,Host-associated,Human,Digestive system,,
MGYP000430909014,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000430909014,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000431267037,Host-associated,Human,Digestive system,Large intestine,
MGYP000431267037,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000431267037,Host-associated,Mammals,Digestive system,Fecal,
MGYP000431805622,Host-associated,Human,Digestive system,,
MGYP000432667684,Engineered,Wastewater,Activated Sludge,,
MGYP000433512386,Host-associated,Human,Digestive system,,
MGYP000433512386,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000433512386,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000433512386,Mixed,,,,
MGYP000441013156,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000441538521,Environmental,Aquatic,Freshwater,Ice,Glacier
MGYP000442856419,Host-associated,Human,Digestive system,,
MGYP000442856419,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000447434197,Environmental,Aquatic,Freshwater,Ice,Glacier
MGYP000448240885,Host-associated,Human,Digestive system,,
MGYP000448240885,Host-associated,Human,Digestive system,Large intestine,
MGYP000448240885,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000448240885,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000449797860,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000451269290,Host-associated,Human,Digestive system,,
MGYP000451269290,Host-associated,Human,Digestive system,Large intestine,
MGYP000451269290,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000451269290,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000451522494,Host-associated,Human,Digestive system,Large intestine,Sigmoid colon
MGYP000451522494,Host-associated,Mammals,Digestive system,Fecal,
MGYP000453965339,Environmental,Aquatic,Marine,,
MGYP000458177489,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000464535878,Engineered,Bioreactor,,,
MGYP000464535878,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000464535878,Engineered,Wastewater,Activated Sludge,,
MGYP000465193717,Mixed,,,,
MGYP000466156779,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000468859969,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000468859969,Engineered,Wastewater,,,
MGYP000468859969,Host-associated,Human,,,
MGYP000468859969,Host-associated,Human,Digestive system,,
MGYP000468859969,Host-associated,Human,Digestive system,Large intestine,
MGYP000468859969,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000468859969,Host-associated,Human,Digestive system,Large intestine,Sigmoid colon
MGYP000468859969,Host-associated,Mammals,Digestive system,Fecal,
MGYP000468859969,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000469141389,Host-associated,Human,,,
MGYP000469141389,Host-associated,Human,Digestive system,,
MGYP000469141389,Host-associated,Human,Digestive system,Large intestine,
MGYP000469141389,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000469965527,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000488071151,Host-associated,Human,Digestive system,,
MGYP000489352287,Environmental,Aquatic,Marine,,
MGYP000503456973,Environmental,Aquatic,Marine,Intertidal zone,Estuary
MGYP000504493363,Host-associated,Human,,,
MGYP000504493363,Host-associated,Human,Digestive system,,
MGYP000504493363,Host-associated,Human,Digestive system,Large intestine,
MGYP000504493363,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000504493363,Host-associated,Human,Digestive system,Large intestine,Sigmoid colon
MGYP000504493363,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000507254597,Host-associated,Human,Digestive system,,
MGYP000507254597,Host-associated,Human,Digestive system,Large intestine,
MGYP000507254597,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000507254597,Host-associated,Human,Digestive system,Large intestine,Sigmoid colon
MGYP000507254597,Host-associated,Mammals,Digestive system,Fecal,
MGYP000507254597,Mixed,,,,
MGYP000509335323,Engineered,Wastewater,Activated Sludge,,
MGYP000510892357,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000518926698,Environmental,Aquatic,Marine,Intertidal zone,Estuary
MGYP000520525852,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000520525852,Engineered,Wastewater,Activated Sludge,,
MGYP000527682614,Environmental,Aquatic,Marine,,
MGYP000527898060,Host-associated,Human,,,
MGYP000527898060,Host-associated,Human,Digestive system,,
MGYP000527898060,Host-associated,Human,Digestive system,Large intestine,
MGYP000527898060,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000527898060,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000528512092,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000530814956,Host-associated,Human,Digestive system,,
MGYP000530814956,Host-associated,Human,Digestive system,Large intestine,
MGYP000530814956,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000530814956,Host-associated,Human,Digestive system,Large intestine,Sigmoid colon
MGYP000530814956,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000531123836,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000532044826,Environmental,Aquatic,Marine,,
MGYP000532044826,Environmental,Aquatic,Marine,Oceanic,
MGYP000533738703,Environmental,Aquatic,Freshwater,Groundwater,
MGYP000533738703,Host-associated,Human,,,
MGYP000533738703,Host-associated,Human,Digestive system,,
MGYP000533738703,Host-associated,Human,Digestive system,Large intestine,
MGYP000533738703,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000533738703,Host-associated,Human,Digestive system,Large intestine,Sigmoid colon
MGYP000533738703,Host-associated,Mammals,Digestive system,Fecal,
MGYP000533738703,Host-associated,Mammals,Digestive system,Large intestine,Cecum
MGYP000533738703,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000535298561,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000535352787,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000536735259,Host-associated,Human,,,
MGYP000536735259,Host-associated,Human,Digestive system,,
MGYP000536735259,Host-associated,Human,Digestive system,Large intestine,
MGYP000536735259,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000536735259,Host-associated,Human,Digestive system,Large intestine,Sigmoid colon
MGYP000536735259,Host-associated,Mammals,Digestive system,Fecal,
MGYP000536735259,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000539643104,Host-associated,Human,Digestive system,,
MGYP000539643104,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000539643104,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000540034940,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000542424830,Environmental,Aquatic,Marine,,
MGYP000542929939,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000542929939,Host-associated,Human,Digestive system,Large intestine,Sigmoid colon
MGYP000542929939,Host-associated,Mammals,Digestive system,Fecal,
MGYP000545841734,Host-associated,Human,Digestive system,,
MGYP000548611181,Engineered,Wastewater,,,
MGYP000548611181,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000548611181,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000549283187,Host-associated,Human,Digestive system,,
MGYP000549283187,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000550574731,Environmental,Aquatic,Marine,,
MGYP000552976443,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000557213670,Environmental,Aquatic,Marine,,
MGYP000566298478,Host-associated,Human,Digestive system,,
MGYP000566298478,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000566298478,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000572237864,Host-associated,Human,,,
MGYP000572237864,Host-associated,Human,Digestive system,Large intestine,
MGYP000572237864,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000572237864,Host-associated,Human,Digestive system,Oral,Saliva
MGYP000574446300,Environmental,Aquatic,Marine,,
MGYP000574446300,Environmental,Aquatic,Marine,Oceanic,
MGYP000575818625,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000578077584,Host-associated,Human,Digestive system,,
MGYP000578077584,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000588334895,Host-associated,Human,Digestive system,,
MGYP000588554442,Host-associated,Mammals,Digestive system,Fecal,
MGYP000589186004,Environmental,Aquatic,Marine,,
MGYP000589186004,Environmental,Aquatic,Marine,Oceanic,
MGYP000589872918,Engineered,Wastewater,,,
MGYP000589872918,Engineered,Wastewater,Water and sludge,,
MGYP000589872918,Host-associated,Human,Digestive system,,
